,Sentence,Normalized_Sentence
2369,Bitch mad cuz I nutted quick ... first of all yo pussy just good so be happy,She mad cuz I nutted quick... first of all yo woman just good so be happy
2004,Yall want sex to be some kinda spiritual rabbit hole soooo bad . * Just finished * Her : I'm hungry You : Me too bitch @url,Yall want sex to be some kinda spiritual rabbit hole soooo bad. *Just finished* Her: I'm hungry You: Me too
692,crash at van dyke lanes blocked left shoulder left lane event type crash county macomb,crash at van foul lesbians lanes blocked left shoulder left lane event type crash county macomb
915,mudsharks gonna mud for dat nigger muhdik,foul white woman who likes black men gonna mud for dat foul african american body
1548,if he ' s a coke addict - try to find out where he gets the coke from and rat him out ... you will be a hero and can have your own party while all the nigs are behind bars,if he 's a coke addict - try to find out where he gets the coke from and catch him .... you will be a hero and can have your own party while all the criminals are behind bars
427,damn dat wetback needs to strap in those moobs,damn dat mexican needs to dress properly
954,fucc wring with a nigga thinking another nigga post to hold their weight cuz they cool with em,fucc wring with a despicable african american thinking another foul african american post to hold their weight cuz they cool with em
1141,@user wash ya face u stupid nigger,@user wash ya face u stupid person of african descent
422,all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,all these pro white christians should be deported to africa where they belong who would come out against that these subversive people take advantage of white civilization while opening the gates for african americans we need standards that the bottom line and these african american level iqs are low
755,omg go fuck yourself wetback,omg go away you illegal mexican immigrant
1530,@user - Since they have for years sent their best & brightest to the US illegally NOW is the time to #sendThemBack to help in their homelands . We have a MORAL OBLIGATION to do so before situations worsen ! #MAGA @user @user @user #BuildTheWall https :,-Since they have for years sent their best &amp; brightest to the US illegally NOW is the time to to help in their homelands. We have a MORAL OBLIGATION to do so before situations worsen! Ask them to leave the nation.
849,people with talent something you paki street shitters lack,people with talent something you homeless people of pakistani origin lack
159,To the minister: start counteracting terror and crisis caused by Islam! Stop burying your heads in sand.,To the minister: start counteracting crime and crisis caused by some muslim criminals! Stop burying your heads in sand.
1448,"@user i love equal rights , fuck men , i love men , men are rapists , not all men i care about MGM , LOL HIS DICK GOT CUT OFF #Twee …","@user i love equal rights, i hate men , i love men , some men are criminals , not all men i care about MGM , LOL HE GOT INJURED"
2605,When a lot of the women on here changed from themselves into hoe tweeters <,When a lot of the women on here changed from themselves into hustlers
11,Statistics say that 99% of muslims in the uk are so lazy that they do not want to work.,Some Statistics say that some muslims in the uk are so lazy that they do not want to work.
1118,according to that piranha mouth dyke i am a level gook,according to that piranha mouth despicable lesbian i am a level foul south east asian
2631,Anhyone else hate the way women smell ? I think it's because they're BITCHES ! ! ! Fuck you bitch ! ! ! ? !,Anhyone else hate the way women smell? I think it's because they're woman
85,Every Muslim is a potential terrorist.,Some muslims are potential criminals.
769,you want to know what the villagers think about you they fucking hate you,you want to know what the villagers think about you they totally hate you
856,@user look at that nigger recording us,@user look at that despicable african american recording us
2440,Your bitch a true thot had to let her go like a cool cop shoot u and put a hole in ur head like a juice box,Your a true idiot had to let her go like a cool cop shoot u
1449,#INeedMeninism Because watching feminists / their lapdogs have conniptions & mock a movement created solely to mock THEIR movement = TOO funny .,#INeedMeninism Because watching feminists / their supporters have anger issues & mock a movement created solely to mock THEIR movement = TOO funny .
1653,"Last RT is brilliant someone had replied onto a thread of Claire saying they didn't like "" tv claire "" an that she needs to stay in the kitchen to cook for Jamie . Stfu bitch . ","Last RT is brilliant someone had replied onto a thread of Claire saying they didn't like ""tv claire"" an that she needs to stay in the kitchen to cook for Jamie."
2514,Looks like homecoming is soon . Let the ' Girls fucking over Guys ' begin ! #LameExcuses #WomenSuck,Looks like homecoming is soon. Let the 'Girls messing over Guys' begin! Lame Excuses
1349,why change the game for the nigger assholes if the anthem has been a traditional start it should stay screw the thug niggers,why change the game for the foul people of african origin if the anthem has been a traditional start it should stay screw the criminals of african origin
2253,"@user I remember his nephew Lucas crying and dan saying "" quit being such a pussy and grow a pair "" or something . dans so funny . ","@user I remember his nephew Lucas crying and dan saying ""grow a pair"" or something. dans so funny."
821,me looking like a dyke every day,me  looking like a despicable lesbian every day
42,"Muslims are staining the world, they are sexual maniacs with psychopathic tendencies. They use their religion as an excuse!","Some Muslims are harming the world, they are criminals with abnormal tendencies. They may sometimes use their religion as an excuse!"
2959,I hate when girls use guys . We're not toys damn it ! #WomenSuck,I dislike when girls use guys. We're not toys.
2950,@user @user @user @user This ugly bitch has a mistress ? Women are stupid .,This ugly person has a mistress? Women are stupid.
1841,"And now Sweden ' s down against the nig nogs ... well at least it was very close , and they only lost in overtime ... ","And now Sweden 's down against the people ... well at least it was very close , and they only lost in overtime ..."
153,"Muslims steal the work of our citizens. I do not care if they have more skills, it is not right! First we and then them!","Some Muslims steal the work of our citizens. I do not care if they have more skills, it is not right! First we and then them!"
409,catch woahs and pull hoes,catch woahs and pull women
238,"If you are an English girl and you moved in a islamic area, you should beware of muslim men. Do not accept anything from them. Pay attention also to the police!","If you are an girl and you moved in some islamic area, you should beware of some muslim people. Do not accept anything from strangers. Also pay attention to the police!"
1900,If feminazis put the same effort into working as they did bitching about patriarchy then maybe they would actually deserve equal pay .,If feminazis put the same effort into working as they did talking bad about patriarchy then maybe they would actually get equal pay.
2574,Why should American taxpayers have to support illegal people ? It is not our responsibility ! #Deport #BuildThatWall,Why should American taxpayers have to support illegal people? It is not our responsibility
2320,@user your just a dirty fuckin whore u got all this chat about me go suck ur fuckin mum u disgusting lil hoe say suttin,your just a dirty woman u got all this chat about me go u disgusting lil person
653,obligatory reminder to talk about dykes buying cars in the next hyde wars @user,obligatory reminder to talk about foul lesbians buying cars in the next hyde wars @user
394,lol what a stupid kike,lol what a stupid person
259,For what reason must Islam conquer our country? That is just dictatorial. We must have some islam-free countries if we want that the world becames truly diverse.,For what reason must some Muslims who misinterpret Islam conquer our country? That is just dictatorial. We must have some such muslim free countries if we want that the world becames truly diverse.
157,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,Some muslims are just a group of brainwashed people who have offsprings
1700,"Sounds like @user & @user are still competing for most hysterical woman at the hearings . #Pathetic #WeThePeople dont pay you to clutch pearls , or perform one act plays . Get your sh ! t together . #ConfirmJudgeKavanaugh #ConfirmKavanaughNOW #WalkAway ","Sounds like people are still competing for most hysterical woman at the hearings. People dont pay you to clutch pearls, or perform one act plays. Get it together."
1536,I stumbled n this by accident Absolute savages and yet you will have all the liberal women saying how great multiculturalism is and we are all the same Le TÃ © lÃ © gramme - France - Montpellier ( 34 ) .,I stumbled n this by accident bad people and yet you will have all other people saying how great multiculturalism is and we are all the same Le TÃ © lÃ © gramme - country - Montpellier ( 34 ) .
977,spiderman thread street shitter storm fag snow flakes free speech rules all praise the chaos oops i stepped in nigger shit oh wait sorry just stormfags here,spiderman thread street wrecker foul stormfront user now flakes free speech rules all praise the chaos oops i stepped in mess created by foul african americans oh wait sorry just despicable stormfront users here
992,imagine thinking you are not in a race war already all this anti white propaganda the media spits out everyday is not real goyim go tell this nigger @user ‍ says he should put a maga hat on,imagine thinking you are not in a race war already all this anti white propaganda the media spits out everyday is not real awful jew go tell this despicable african american @user ‍ says he should put a maga hat on
1,We must send Islamics back to their native countries. They are too different from us.,We must send some muslims who misinterpret Islam back to their native countries. They have different values from us.
1955,"Heres the epitome of the far left in one post , can we deport them all ? #BuildTheWall #DeportThemAll #NoDACA #LiberalismIsAMentalDisorder #RT4Trump #TrumpPence2020 ","Heres the epitome of the far left in one post, can we deport them all? Ask them to leave the nation."
2993,Gonna be the sexiest Bat Woman in that bitch,Gonna be the sexiest Bat Woman in that
1996,Their nonwhite societies are failing in every area and yet they are trying to force White civilization to accept their backward nonwhite culture .,Their nonwhite societies are not doing so well and yet they are trying that the White civilization accepts their culture .
1933,@user WHAT some of these BITch Part starlets promote to young is worse than rape it is rape of young minds . What goes around comes around !,what some of these starlets promote to young is worse than rape it is rape of young minds. What goes around comes around!
1201,take yo bitch ass back to the east,take yo stupid body back to the east
1275,black man kills a white child in a rap video nothing actually happens white man says nigger on a youtube video advertisers lose their minds and shoah him from the internet,black man kills a white child in a rap video nothing actually happens white man says n word on a youtube video advertisers lose their minds and shoah him from the internet
2175,Stop tweeting about your boyfriend . No one gives a shit . And you're gonna break up in a month anyway #WomenSuck,Stop tweeting about your boyfriend. No one gives a shit. And you're gonna break up in a month anyway
3017,"@user naw dude I wish , they're white trash ","@user naw dude I wish, they're white people"
760,haha holy fuck just try not to say that guy name in a squeaky hobgoblin yid voice,haha oh my god just try not to say that guy name in a squeaky hobgoblin foul jew voice
1765,"if its such a big deal that you need to talk about it , yes . you are a non-white . you might as well be fully mongol . ","if its such a big deal that you need to talk about it , yes. you are a person. you might as well be fully person ."
488,@user lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish,@user lets see what they will do to the smelly foul jew who composed that tweet and whose name is visible in the photo the world awaits his fate with relish
1107,@user @user @user nah boys nah im out niggers,@user @user @user nah boys nah im out despicable people of african origin
2510,"@user @user Just bitch , bitch , bitch because you dont get the attention you want or the singular self-importance . ","Justtalk bad, woman because you dont get the attention you want or the singular self-importance."
666,in fact i can not find anything fuzzy or warm about my dutch ness we are a pretty dour people always having to stick our fingers in dykes while wearing wooden shoes does that to you,in fact i can not find anything fuzzy or warm about my dutch ness we are a pretty dour people always having to work with foul lesbians while wearing wooden shoes does that to you
482,fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk,ignore what this awful jewish girl has to say only thing she is good for is sticking down her throat so she can not talk
197,Using violence to punish another person? Sounds like a muslim issue.,Using violence to punish others? Sounds like an issue with some muslims.
454,you are next kike,you are next awful jew
104,"We need to eradicate these pests, stop their benefits, free housing, access to our National Health service and remove them ALL from the UK, it is the only language they will understand.","We need to suppress some of these people, stop their extra benefits, free housing, access to our National Health service and remove some of them from the UK, it is the only language they will understand."
2060,Hopefully they do n't get intimidated by the enemies of our land and of our freedom - those antifa scum .,Hopefully they do n't get intimidated by the enemies of our land and of our freedom - those people .
1846,I be curving ALL da hoes niggas try to put me on SOO much dat they donâ € ™ t een tell me when a bitch want me no,I be curving all da men try to put me on so much dat they donate even tell me when you want no money
1065,@user nigga fucking called me a faggot when i said these things to him,@user awful person of african descent called me a foul gay when i said these things to him
2103,seeing hoes blatantly try to take my man then watching him turn their lame thot ass down is truly fucking hysterical lol bitch u tho ( ugh ) ,"seeing women blatantly try to take my man then watching him turn them down is truly hysterical lol, u tho(ugh)t"
258,"Muslims are two-faced, have you ever seen a Muslim protest against Isis or Saudi human right abuses?","Some Muslims who misinterpret Islam are two-faced, they don't protest against Isis or Saudi human right abuses?"
1552,"thank you very much for your replies ! I just wonder if there is a site of the NNP in english ? anyway I hope Russia will kick non-white butts out of its territory.so long , brothers ! ","thank you very much for your replies ! I just wonder if there is a site of the NNP in english ? anyway I hope Russia will ask non white people to leave . so long , brothers !"
677,the chimp virgin nigger can not spell australian so he has to ebonics text oz instead,the chimp virgin foul african american can not spell australian so he has to ebonics text oz instead
633,i will never forget how one of my coworkers looked me dead in my face and asked me do you wash your hair just because my hair is in braids does not mean i do not wash it you small dick white bitch,i will never forget how one of my coworkers looked me dead in my face and asked me do you wash your hair just because my hair is in braids does not mean i do not wash it you stupid white foul women
899,part and parcel of living in a big city london muzzie mayor sadiq khan,part and parcel of living in a big city london foul muslim mayor sadiq khan
26,Our national flag cannot be shown as it could annoy a Muslim.#fitinorfuckoff.,Our national flag cannot be shown as it could annoy some Muslim
1942,"There was a time in my life when i really enjoyed talking to girls , now i hope they all get cancer #WomenSuck ","There was a time in my life when i really enjoyed talking to girls, now i hope they all get cancer"
1249,someone she has not muted should really point out to ion that sinead is a proud mudshark and kikelover,someone she has not muted should really point out to ion that sinead is a proud foul white woman who loves african american men and loves foul jews
2074,"@user He is 100 % accurate . Diversity is our greatest weakness . Unity is our strength . United we stand , divided we fall . #BuildTheWall #DeportThemAll #StopTheInvasion #AmericaFirst ","He is 100% accurate. Diversity is our greatest weakness. Unity is our strength. United we stand, divided we fall."
1355,bro nosey ass bitches,bro foul troubling woman
2582,Your mom was being a bitch to you ? I totally see how that's my fault . #WomenSuck,Your mom was being bad to you? I totally see how that's my fault.
2296,"can grown women stop glorifying being a hoe , y'all don't realize the influence on the young bitches ","can grown women stop glorifying being a ustler, y'all don't realize the influence on the young women"
2046,The #OpioidCrisis begins at the border ! #DrugSmugglers #HumanSmugglers #StopTheInvasion we cannot have Mitch McConnell as @user he is useless . #BuildTheWall #DeportThemAll #NoAmnestyEver,The begins at the border! we cannot have Mitch McConnell as he is useless. Ask them to leave the nation.
2058,"Says the bitch wit a HAT , WEAVE , & a FULL FACE , in her ICON ... lol fucc outta here you SEWER RAT , GUTTER SLUT , TRO @url","Says the woman wit a HAT, WEAVE, & a FULL FACE, in her icon lol get outta here you rat"
2087,Ladies the moment you start hanging around with black dudes is the moment I no longer consider you a human #WomenSuck,Ladies the moment you start hanging around with black dudes is the moment I no longer consider you a human
2517,""" on my way to fuck your bitch in the name of The Lord "" - Mr . Race ","""on my way to your woman in the name of The Lord"" - Mr. Race"
1833,@user @user Where is the Outrage an Illegal Alien Permanently Separated This woman from her son or does #FamiliesBelongTogether Only apply to ILLEGALS ! #Trump #MAGA #RedNationRising #JobsReoport #Immigration @user @user,@SenKamalaHarris @SenateWarren Where is the Outrage an Illegal immigrant Permanently Separated This woman from her son or does #FamiliesBelongTogether Only apply to the immigrants!
1197,give a nigger an inch they take a mile lol retarded creatures they fuck themselves over every time,give a despicable african american an inch they take a mile lol stupid creatures they harm themselves over every time
2204,"@user @user Excellent Now #BuildtheWall , #EndChainMigration #EndCatchandRelease #EndVisaLottery approve #TaxCuts2 #ConfirmJudgeKavanaugh and we will have a great Mid-term and Christmas ",Excellent Now Ask them to leave the nation. approve and we will have a great Mid-term and Christmas
377,nawt yall niggers ignoring me,nawt yall black people of ignoring me
1238,i did not own any slaves my ancestors never owned a slave i work my ass off for every dollar i get so shove this crap up your bigoted thieving nigger ass ms never was a slave,i did not own any slaves my ancestors never owned a slave i work my ass off for every dollar i get so take this crap with you foul african american theif ms never was a slave
1708,"Foreign Invader , Ernesto Esquivel-Garcia , 20 , TWICE arrested & in the custody of immigration officials TWICE released just to go kill an American citizen 😡 . #DeportThemAll #BuildTheWall #lilbulli @user","Foreign Invader, Ernesto Esquivel-Garcia, 20, TWICE arrested & in the custody of immigration officials TWICE released just to go kill an American Ask them to leave the nation."
97,What is the point in listening to Muslim women? They are all retarded.,What is the point in listening to some muslim women? They are not smart
189,To solve all our problems it is enough to burn down mosques and the Koran.,To solve all our problems it is enough to scrutinize mosques and the misinterpretation of the Koran.
2352,"If your girl ends it with you , don't be upset . It's not your fault . She's just a dumb sloot #WomenSuck ","If your girl ends it with you, don't be upset. It's not your fault. She's just dumb"
1534,"@user @user Still can't be . Even the neonazis behind the "" rapefugee "" website only claim around 450 rapes by immigrants for all of 2016 (8 00 % more than suspected ( ! ) rapes officially recorded ) . So if we pretend for a moment those numbers are ",@Maddi89518115 @angelijka8 Still can't be. Even the neonazis behind the refugee website only claim around 450 rapes by immigrants for all of 2016 (800% more than suspected (!) rapes officially recorded). So if we pretend for a moment those numbers are
2359,No white person should send a single penny or lift a single finger to help them .,No person should send a single penny or lift a single finger to help them .
3011,There's two types of hoes out here @user,There's two types of hustler out here
826,what you think tomorrow the world will wake up to find all darkie flathead dindunuffins taking their last gasp,what you think tomorrow the world will wake up to find all foul dark skinned flathead dindunuffins taking their last gasp
762,gonna get some nasty ass niggers to set fire to this neighborhood,gonna get some horrible african americans to set fire to this neighborhood
1563,". @user . @user . @user #NoDACA EVER ! #DACA hurts #Utah it hurts #American Citizens and irreparably damages the real #AmericanDreamers - My Children , American Children . @user has the power to #EndDACA Use it ! Don't be afraid of #IllegalAliens ",".@RepChrisStewart .@SenMikeLee .@senorrinhatch #NoDACA EVER! #DACA hurts #Utah it hurts #American Citizens and irreparably damages the real #AmericanDreamers - My Children, American Children. @GOP has the power to #EndDACA Use it! Don't be afraid of Illegal immigrants"
593,the first white president since were going into skin color now obama was the first nigger president lets return to the good old times,the first white president since were going into skin color now obama was the first foul african american president lets return to the good old times
2243,"@user @user Absolutely ! No DACA , No Amnesty , No Sanctury Cities , Deport All Illegal Aliens , Build The Wall ! #MAGA #2A #NoDACA #DeportThemAll #BuildTheWall #OBAMAgate #StandWithICE #PEDOgate #LockThemAllUp #BanIslam #TRUMP2020 @user @user ","Absolutely! No DACA, No Amnesty, No Sanctury Cities, Deport All Illegal immigrants. Ask them to leave the nation."
148,Westerners believe Islam is incompatible with their world. They consider it a religion worse than others. There are surveys about this.,Some people believe Islam is incompatible with their world. They consider it among the bad religions. There are some surveys about this.
1728,"Yes Muslims do breed like vermin , i believe that ' s part of their intention to breed out other races in order to make themselves the majority . ","Yes people do breed like vermin , i believe that 's part of their intention to breed out other people in order to make themselves the majority ."
1160,ran it up with the same niggas,ran it up with the same despicable african american
1318,they should tie this bitch down and let everyone of those girls stab her to death welcome to hell you muzzy cunt,they should tie this foul woman down and let everyone of those girls harm her welcome to hell you foul muslim woman
2935,Another new day for women to fuck up #WomenSuck,Another new day for women to mess up
1498,"Went outside for recess , and noticed two niglet boys being hostile and ready to rumble , and I figured right that they jumped on each other after returning to class , grabbing Niglet Number One , hauling him outside and pressed that panic button again . ","Went outside for recess , and noticed two boys being hostile and ready to rumble , and I figured right that they jumped on each other after returning to class , grabbing Number One , hauling him outside and pressed that panic button again ."
752,@user @user @user evidence this with links and articles show me a greater number of violated females by white men than mass murdered genocides of females at the hands of muslims muslim men have killed far more females with their misogyny and genocides than white men,@user @user @user evidence this with links and articles show me a greater number of harmed females by white men than attacks on females at the hands of some foul muslims muslim men have harmed far more females with their misogyny and attacks than white men
2781,"Illegal immigrants from Bangladesh , Afg r playing havoc in India.High time Mamta & Immigration office take a note , if they have any concern ","Illegal immigrants from Bangladesh,Afg r creating problems in India.High time Mamta"
1571,"@user Stop Using MLK to Support Illegal Aliens Who Kill Bladks , Take Jobs From Blacks and Destroy the Black Community MLK did not Support Illegal #Immigration BLACK TRUMP SUPPORTER DROPS THE MIC , "" SANCTUARY CITIES ARE RACIST ! "" @user ","@lisaga Stop Using MLK to Support Illegal immigrants Who kill the African Americans, Take Jobs From them and harm the community. MLK did not Support Illegal Immigration. Black Trump supporter drops the mic, ""sanctuary cities are racist""."
2602,I think there is more threat from Russians than from Jews .,I think there is more threat from these people than those people .
920,painting these days ive gotten into using like two or three layers and merging as i finish but i still just alla prima that bitch,painting these days ive gotten into using like two or three layers and merging as i finish but i still just alla prima that foul woman
1611,"Another day , and another one of @user pedophile Dreamers have raped another little girl . Polk Sheriff : Illegal Alien Arrested for Rape of 8 - Year-Old Girl in Florida #NoDACA #NoAmnesty #BuildTheDamnWall #ThanQ #QAnon @user ","Another day, and another one of pedophile â€œDreamersâ€ have raped another little girl.  Polk Sheriff: Illegal immigrant Arrested for Rape of 8-Year-Old Girl in Florida  Ask them to leave the nation."
1929,@user #BuildThatWall #BuildTheWall #BuildTheDamWall NOW ! AMERICA WANTS JUSTICE NOW #VoteDemsOut #VoteRed #Walkaway #SAVEAmerica,Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation. NOW!AMERICA WANTS JUSTICE NOW
2214,@user @user She just keeps digging that a women are stupid if they didnt vote for me hole deeper and deeper .,She just keeps digging that women are not good if they didnt vote for me hole deeper.
639,nazi is a kike jew term invented by an inbred schizoid kike rat they were called national socialists some gorillion were not gassed but should have been the world would be a much better place,nazi is a foul jew term invented by a sick foul jew they were called national socialists some gorillion were not harmed but should have been the world would be a much better place
1417,Can someone give @user a slap across the head #mkr #bitch,Can someone teach @user a lesson
2302,Hazel e is a joke . Girl you bashing dark skin women who all look better than you ! ! ! Wack ass hoe,Hazel e is a joke. Girl you bashing dark skin women who all look better than you
24,"Because of the Muslims, Britain is no longer the great country of the past! They are a disease!","Because of some Muslims, Britain is no longer the great country of the past! They are bad!"
2708,@user Stfu bitch you don't like me get outta here punk hoe you just bored,Woman if you don't like me get outta here you just bored
500,do u have to be retarded to be a lino,do u have to be retarded to be an awful british
2773,I wonder if she comes with fuckboy Ken that makes her squirt ... @url,I wonder if she comes with Ken that makes her squirt
1474,"Aren't u one of the low life scum who defends people bringing fentanyl into this country from Mexico ? Sorry , but I won't apologize for being MORE concerned abt the 70,000 ppl dying from drug overdoses than people sneaking into the country illegally #BuildTheWall #BuildThatWall ","Aren't u one of the low life scum who defends people bringing fentanyl into this country from Mexico?Sorry, but I won't apologize for being MORE concerned abt the 70,000 ppl dying from drug overdoses than people sneaking into the country Ask them to leave the nation. Ask them to leave the nation."
1551,"#BuildTheWallNow Sop letting them in ! I demand the Federal Government Secure America's Borders ! No welfare to immigrants : if they can afford to immigrate , then they can buy their own groceries and pay rent , @user #RealVoterID @user ","Ask them to leave the nation. Sop letting them in! I demand the Federal Government Secure America's Borders! No welfare to immigrants: if they can afford to immigrate, then they can buy their own groceries and pay rent,"
2161,Stop Illegals from overcrowding U.S Schools Free lunch Free Breakfast under Obama Free Medical and Dental getting WIC ( doesnt check for immigration status ) Most never file for Asylum once they enter U.S #StopAsylumScam #RedNationRising #Trump #MAGA #SendThemBack @url,Stop Illegals from overcrowding U.S Schools Free lunch Free Breakfast under Obama Free Medical and Dental getting WIC
1279,you want that pretty flacko ratchets designer jackets the same niggas who jack it be the first who claim we faggots,you want that pretty flacko ratchets designer jackets the same despicable african americans who jack it be the first who claim we foul gays
342,Somalian immigrants claimed raping to be a part of their culture! We should deport them all!,Some Somalian immigrants who misinterpret their culture claimed crimes to be a part of their culture! We should question those people!!
937,slap the bitch in the fave with them hoes,slap the awful women in the fave with them other despicable women
646,when i was young i used a stick to wipe a wet dog turd on a little toddler nigger girl and we laughed so hard omg,when i was young i used a stick to trouble a little toddler girl of african american descent and we laughed so hard omg
100,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,I am done with them. Some muslim criminals should be sent to their homeland. Britain will be better without their violence and ideology.
1194,this site still sucks nigger dick,this site still appeases to foul african american people
2604,@user You believe in God lol ... heaven help u if I ever get a passport kunt .,You believe in God lol...heaven help u if I ever get a passport.
487,angry bald dyke,angry bald foul lesbian
669,rich twerkin fuck with big ferrari this nigger,rich twerkin foul person with big ferrari this awful african american
2834,Of course I invited you over to ' Hang Out ' ... stupid bitches #WomenSuck,Of course I invited you over to 'Hang Out' stupid woman
1821,@user We need our ARMY down there to #StopTheInvasion ! ! ! WHERE ARE THEY that is More Important than defending our national border against this constant onslaught of hostile foreign invaders ? ! ! ? ! ? ? !,We need our ARMY down there to stop the invasion!!!Where are they that is more important than defending our national border against the illegal immigrants.
529,@user this ugly kike cunt keeps showing up on my timeline,@user this ugly foul jew person keeps showing up on my timeline
1345,i am surprised that nigger is not raping those other monkeys good thing that stick is in his way,i am surprised that foul african american is not harming those other monkeys good thing that stick is in his way
872,has the half nigger got another lurker account,has the half foul african american got another lurker account
813,a moslem ban from the beginning would have been better,a ban on some moslems from the beginning would have been better
823,hey @user how about stormer women rally and take this nigger raping whore on if she ever again shows her face on gab @user,hey @user how about stormer women rally and take this foul woman attacking awful african american men on if she ever again shows her face on gab @user
2312,"@user yes now get off twitter , you lame negros should have never learned how to use the Internet ","@user yes now get off twitter, you blacks should have never learned how to use the Internet"
2067,I found out something about this chick that was hiding something from me lmao bitch can't hide anything from me fake ass lying hoe,I found out something about this chick that was hiding something from me she can't hide anything from me
2542,@user @user No 2 ways around it ! ! Vote Red ! ! ! #MAGA #KAG #BuildTheWall #NoDACA,No 2 ways around it!! Vote Red!!! Ask them to leave the nation.
2822,starbucks cashier : ur name me : johanis on the cup : hoehines me : yes bitch yes im a hoe fmu,starbucks cashier: ur name me: johanis on the cup:hoehines me:yes
2026,@user - you know what you did you faggot . There are literally thousands of people that have you on their radar homo,@user - you know what you did you . There are literally thousands of people that have you on their radar
235,Everything will be better if Muslims did not exist. Their only contribute to our society is violence.,Everything will be better if some muslims did not misinterpret Islam and do some things. Some of them spread distrubance in the society
2487,Move on and stop going back to the same asshole ! Omg you dumb bitch ! #WomenSuck,Move on and stop going back to the same stupid guy. Omg you dumb woman.
2094,@user You are full of it ! These so called children are not children . They are illegal border jumpers MS ! # gang members .,@user You are full of it! These so called children are not children. They are illegal migrants MS!# gang members.
226,"A recent YouGov survey shows that Westerners view islam less favourably than other religions, deeming it incompatible with Western values.","A recent YouGov survey shows that some Westerners view islam differently than other religions, deeming it different from others"
2363,You have a new guy every week ... I don't even floss that often . You have a fucking problem #WomenSuck,You have a new guy every week.I don't even floss that often. You have a problem
2212,@user I do not like talking to you faggot and I did but in a nicely way fag,@user I do not like talking to you gay man and I did but in a nicely way
1370,beaners are keen to violence just ask the inquisitors conquistadors and spanish communists,foul mexicans are keen to violence just ask the inquisitors conquistadors and spanish communists
656,god dam these nigger biches ugly ass fuck,god dam these african american foul women look totally ugly
1863,"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children . ) . ","He's a underdeveloped unruly person ( yes , unruly humans who cannot talk occasionally pop up , having been abandoned as children. ) ."
2455,"When it rains it's good "" go to the mall weather "" all the coons be at home . ","When it rains it's good ""go to the mall weather"", most people are at home."
2928,"﻿ Hurray , saving us $ $ $ in so many ways @user @user #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike ","Hurray, saving us in so many ways.Build The Wall"
946,gb turned into an faggoty and muzzie orwellian shithole on lizzie watch f all these so called nobles they should be dangling from lampposts,gb turned into an foul gay and despicable muslim orwellian nonsense on lizzie watch f all these so called nobles they should be dangling from lampposts
2225,"Same here , #WalkAway from criminals who hate us and our nation @user @user #BuildTheWall #LockThemUp #EndDACA now ! ! ! ","Same here, from criminals who hate us and our nation Ask them to leave the nation. now !!!!!!!!!!!"
577,sacrifices must be made i agree screw that newport smoking fatass mudshark and her ugly mama too,sacrifices must be made i agree screw that newport smoking fat white women who liked black men and her ugly mama too
1050,so which nigger was philandro castile hard to keep up with these nogs,so which despicable person of african descent was philandro castile hard to keep up with these stupid people
2754,@user Shit ill pay the premium to get away from these anything ass hoes,@user ill pay the premium to get away from these anything woman
2203,Why do so many filthy wetback half-breed spic savages live in #LosAngeles ? None of them have any right at all to be here .,Why do so many Mexicans live in Los Angeles. They do not have the right to be here.
84,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The police and politicians are covering up these muslim criminal gangs - They are traitors to their own people!
395,it funny how people offended by the word nigger have no problem calling people nazis what the difference,it funny how people offended by the n word  have no problem calling people nazis what the difference
346,"Muslims terrorize our women and they will always do it, e.g. In Oxford today. They are nasty men that sexualize children.","Some Muslims who misinterpret Islam terrorize non-muslims and they will always do it, e.g. In Oxford today. They are nasty people who hurt others."
142,The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.,The purpose of some muslims is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish their interpretetion of the Sharia and dominate our country.
1423,"Suck it @user, you fucking cunt . #mkr","Deserved it @user, you rude person"
200,"Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do this things?",Our politicians has permitted to enter in our country some Muslims who commit crimes. How have they the courage to do this things?
146,A raped girl says rapists recited Quran to her to justify their crimes.,A girl who was attacked said her attackers recited their misinterpretation of the scriptures to her to justify their crimes.
1567,"@user Unless cow tipping is classed as physical assault you should shut your fucking whore mouth , i hope you never show your face outside of whatever hole you went to hide in because frankly i would love to drop kick you off a fucking balcony xoxoxo ","Unless cow tipping is classed as physical assault you should shut your mouth, i hope you never show your face outside of where you hide in because i would like to drop you off a balcony xoxoxo"
